stateCd,districtCd,acNumber,rollCode,rollText,parts_total,files_found,missing_count,timestamp
S04,S0414,90,g,General Election / Bye Election Roll 2024,345,291,54,2025-08-28 12:20:29 UTC+05:30
S04,S0414,91,g,General Election / Bye Election Roll 2024,365,286,79,2025-08-28 12:20:52 UTC+05:30
S04,S0414,92,g,General Election / Bye Election Roll 2024,343,274,69,2025-08-28 12:21:05 UTC+05:30
S04,S0414,93,g,General Election / Bye Election Roll 2024,375,320,55,2025-08-28 12:21:17 UTC+05:30
S04,S0414,94,g,General Election / Bye Election Roll 2024,416,327,89,2025-08-28 12:21:32 UTC+05:30
S04,S0414,95,g,General Election / Bye Election Roll 2024,396,325,71,2025-08-28 12:22:00 UTC+05:30
S04,S0414,96,g,General Election / Bye Election Roll 2024,357,315,42,2025-08-28 12:22:14 UTC+05:30
S04,S0414,97,g,General Election / Bye Election Roll 2024,388,341,47,2025-08-28 12:22:38 UTC+05:30
S04,S0414,98,g,General Election / Bye Election Roll 2024,385,322,63,2025-08-28 12:22:52 UTC+05:30
S04,S0427,171,g,General Election / Bye Election Roll 2024,370,312,58,2025-08-28 12:23:07 UTC+05:30
S04,S0427,172,g,General Election / Bye Election Roll 2024,445,396,49,2025-08-28 12:23:29 UTC+05:30
S04,S0427,173,g,General Election / Bye Election Roll 2024,381,309,72,2025-08-28 12:23:55 UTC+05:30
S04,S0427,174,g,General Election / Bye Election Roll 2024,390,327,63,2025-08-28 12:24:13 UTC+05:30
S04,S0427,175,g,General Election / Bye Election Roll 2024,389,340,49,2025-08-28 12:24:30 UTC+05:30
S04,S0427,176,g,General Election / Bye Election Roll 2024,389,338,51,2025-08-28 12:24:45 UTC+05:30
S04,S0427,177,g,General Election / Bye Election Roll 2024,401,342,59,2025-08-28 12:25:02 UTC+05:30
S04,S0437,235,g,General Election / Bye Election Roll 2024,399,338,61,2025-08-28 12:25:21 UTC+05:30
S04,S0437,236,g,General Election / Bye Election Roll 2024,485,397,88,2025-08-28 12:25:38 UTC+05:30
S04,S0437,237,g,General Election / Bye Election Roll 2024,458,370,88,2025-08-28 12:25:51 UTC+05:30
S04,S0437,238,g,General Election / Bye Election Roll 2024,404,328,76,2025-08-28 12:26:06 UTC+05:30
S04,S0437,239,g,General Election / Bye Election Roll 2024,423,362,61,2025-08-28 12:26:20 UTC+05:30
S04,S0401,1,g,General Election / Bye Election Roll 2024,428,358,70,2025-08-28 12:26:44 UTC+05:30
S04,S0401,2,g,General Election / Bye Election Roll 2024,385,335,50,2025-08-28 12:26:58 UTC+05:30
S04,S0401,3,g,General Election / Bye Election Roll 2024,326,282,44,2025-08-28 12:27:21 UTC+05:30
S04,S0401,4,g,General Election / Bye Election Roll 2024,376,310,66,2025-08-28 12:27:36 UTC+05:30
S04,S0401,5,g,General Election / Bye Election Roll 2024,309,262,47,2025-08-28 12:27:50 UTC+05:30
S04,S0401,6,g,General Election / Bye Election Roll 2024,331,287,44,2025-08-28 12:28:02 UTC+05:30
S04,S0401,7,g,General Election / Bye Election Roll 2024,334,292,42,2025-08-28 12:28:27 UTC+05:30
S04,S0401,8,g,General Election / Bye Election Roll 2024,324,298,26,2025-08-28 12:28:42 UTC+05:30
S04,S0401,9,g,General Election / Bye Election Roll 2024,343,281,62,2025-08-28 12:28:57 UTC+05:30
S04,S0428,178,g,General Election / Bye Election Roll 2024,342,290,52,2025-08-28 12:29:16 UTC+05:30
S04,S0428,180,g,General Election / Bye Election Roll 2024,351,289,62,2025-08-28 12:29:29 UTC+05:30
S04,S0428,181,g,General Election / Bye Election Roll 2024,501,438,63,2025-08-28 12:29:46 UTC+05:30
S04,S0428,182,g,General Election / Bye Election Roll 2024,422,388,34,2025-08-28 12:29:58 UTC+05:30
S04,S0428,183,g,General Election / Bye Election Roll 2024,435,377,58,2025-08-28 12:30:13 UTC+05:30
S04,S0428,184,g,General Election / Bye Election Roll 2024,405,344,61,2025-08-28 12:30:27 UTC+05:30
S04,S0428,185,g,General Election / Bye Election Roll 2024,350,293,57,2025-08-28 12:30:43 UTC+05:30
S04,S0428,186,g,General Election / Bye Election Roll 2024,409,358,51,2025-08-28 12:31:00 UTC+05:30
S04,S0428,187,g,General Election / Bye Election Roll 2024,406,352,54,2025-08-28 12:31:16 UTC+05:30
S04,S0428,188,g,General Election / Bye Election Roll 2024,459,395,64,2025-08-28 12:31:37 UTC+05:30
S04,S0428,189,g,General Election / Bye Election Roll 2024,443,391,52,2025-08-28 12:31:57 UTC+05:30
S04,S0428,190,g,General Election / Bye Election Roll 2024,369,317,52,2025-08-28 12:32:21 UTC+05:30
S04,S0428,191,g,General Election / Bye Election Roll 2024,424,344,80,2025-08-28 12:32:36 UTC+05:30
S04,S0409,56,g,General Election / Bye Election Roll 2024,378,332,46,2025-08-28 12:33:10 UTC+05:30
S04,S0409,57,g,General Election / Bye Election Roll 2024,340,278,62,2025-08-28 12:33:38 UTC+05:30
S04,S0409,58,g,General Election / Bye Election Roll 2024,341,288,53,2025-08-28 12:33:56 UTC+05:30
S04,S0409,59,g,General Election / Bye Election Roll 2024,379,323,56,2025-08-28 12:34:18 UTC+05:30
S04,S0409,60,g,General Election / Bye Election Roll 2024,357,321,36,2025-08-28 12:34:31 UTC+05:30
S04,S0409,61,g,General Election / Bye Election Roll 2024,393,331,62,2025-08-28 12:34:45 UTC+05:30
S04,S0409,62,g,General Election / Bye Election Roll 2024,365,327,38,2025-08-28 12:34:58 UTC+05:30
S04,S0402,10,g,General Election / Bye Election Roll 2024,329,289,40,2025-08-28 12:35:26 UTC+05:30
S04,S0402,11,g,General Election / Bye Election Roll 2024,335,295,40,2025-08-28 12:35:39 UTC+05:30
S04,S0402,12,g,General Election / Bye Election Roll 2024,356,295,61,2025-08-28 12:35:54 UTC+05:30
S04,S0402,13,g,General Election / Bye Election Roll 2024,312,276,36,2025-08-28 12:36:08 UTC+05:30
S04,S0402,14,g,General Election / Bye Election Roll 2024,319,262,57,2025-08-28 12:36:27 UTC+05:30
S04,S0402,15,g,General Election / Bye Election Roll 2024,307,267,40,2025-08-28 12:36:41 UTC+05:30
S04,S0402,16,g,General Election / Bye Election Roll 2024,298,262,36,2025-08-28 12:36:58 UTC+05:30
S04,S0402,17,g,General Election / Bye Election Roll 2024,421,355,66,2025-08-28 12:37:14 UTC+05:30
S04,S0402,18,g,General Election / Bye Election Roll 2024,313,263,50,2025-08-28 12:37:26 UTC+05:30
S04,S0402,19,g,General Election / Bye Election Roll 2024,367,321,46,2025-08-28 12:37:39 UTC+05:30
S04,S0402,20,g,General Election / Bye Election Roll 2024,357,297,60,2025-08-28 12:37:51 UTC+05:30
S04,S0402,21,g,General Election / Bye Election Roll 2024,381,314,67,2025-08-28 12:38:09 UTC+05:30
S04,S0432,207,g,General Election / Bye Election Roll 2024,388,324,64,2025-08-28 12:38:30 UTC+05:30
S04,S0432,208,g,General Election / Bye Election Roll 2024,421,374,47,2025-08-28 12:38:43 UTC+05:30
S04,S0432,209,g,General Election / Bye Election Roll 2024,420,372,48,2025-08-28 12:38:55 UTC+05:30
S04,S0432,210,g,General Election / Bye Election Roll 2024,364,325,39,2025-08-28 12:39:08 UTC+05:30
S04,S0432,211,g,General Election / Bye Election Roll 2024,357,306,51,2025-08-28 12:39:25 UTC+05:30
S04,S0432,212,g,General Election / Bye Election Roll 2024,333,303,30,2025-08-28 12:39:42 UTC+05:30
S04,S0432,213,g,General Election / Bye Election Roll 2024,409,350,59,2025-08-28 12:40:00 UTC+05:30
S04,S0412,74,g,General Election / Bye Election Roll 2024,358,329,29,2025-08-28 12:40:21 UTC+05:30
S04,S0412,75,g,General Election / Bye Election Roll 2024,437,388,49,2025-08-28 12:40:40 UTC+05:30
S04,S0412,76,g,General Election / Bye Election Roll 2024,410,359,51,2025-08-28 12:41:01 UTC+05:30
S04,S0412,77,g,General Election / Bye Election Roll 2024,361,314,47,2025-08-28 12:41:14 UTC+05:30
S04,S0419,131,g,General Election / Bye Election Roll 2024,403,341,62,2025-08-28 12:41:37 UTC+05:30
S04,S0419,132,g,General Election / Bye Election Roll 2024,400,329,71,2025-08-28 12:41:55 UTC+05:30
S04,S0419,133,g,General Election / Bye Election Roll 2024,322,291,31,2025-08-28 12:42:07 UTC+05:30
S04,S0419,134,g,General Election / Bye Election Roll 2024,367,313,54,2025-08-28 12:42:27 UTC+05:30
S04,S0419,135,g,General Election / Bye Election Roll 2024,345,282,63,2025-08-28 12:42:42 UTC+05:30
S04,S0419,136,g,General Election / Bye Election Roll 2024,332,284,48,2025-08-28 12:42:56 UTC+05:30
S04,S0419,137,g,General Election / Bye Election Roll 2024,317,271,46,2025-08-28 12:43:12 UTC+05:30
S04,S0419,138,g,General Election / Bye Election Roll 2024,338,286,52,2025-08-28 12:43:31 UTC+05:30
S04,S0419,139,g,General Election / Bye Election Roll 2024,413,349,64,2025-08-28 12:43:45 UTC+05:30
S04,S0419,140,g,General Election / Bye Election Roll 2024,366,310,56,2025-08-28 12:43:59 UTC+05:30
