partNumber,found,fileUuid,refId,bucketName
45,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-45_4419741d-9c55-4de2-a5fb-8a3ec0fe6d78.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-45-WI.pdf,tcsecidels3arc-eroll-s04-bihar
46,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-46_f6224a26-322c-43b2-ab1e-bf9744cc5fa8.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-46-WI.pdf,tcsecidels3arc-eroll-s04-bihar
47,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-47_717bc79a-9ef9-4c9c-982d-619b30a90c6f.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-47-WI.pdf,tcsecidels3arc-eroll-s04-bihar
48,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-48_401dcfbc-473f-40e8-aaf4-b16ae58e3719.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-48-WI.pdf,tcsecidels3arc-eroll-s04-bihar
49,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-49_293cb83f-dca2-41c8-9e3d-0af1196ca8f5.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-49-WI.pdf,tcsecidels3arc-eroll-s04-bihar
50,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-50_60aadebd-3c30-440e-adfb-1d5171f7e2e1.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-50-WI.pdf,tcsecidels3arc-eroll-s04-bihar
51,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-51_bf1b31c0-aafd-4ee5-b6cb-275695d1bfe3.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-51-WI.pdf,tcsecidels3arc-eroll-s04-bihar
52,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-52_6dd548b5-a250-4f20-9f36-ad709810be83.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-52-WI.pdf,tcsecidels3arc-eroll-s04-bihar
53,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-53_3a315621-816a-437e-92b8-c0fbc3e44bec.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-53-WI.pdf,tcsecidels3arc-eroll-s04-bihar
54,True,v3/2024/Revision2/EROLLGEN/S04/WP/29/p-54_0178a4a9-5e59-42e1-9a7b-f9007248bdc0.pdf,2024-FC-EROLLGEN-S04-29-FinalRoll-Revision2-HIN-54-WI.pdf,tcsecidels3arc-eroll-s04-bihar
