source_file,year,state_code,state_name,ac_number,ac_name,ac_reservation,pc_number,pc_name,part_number,polling_station_number_and_name,polling_station_address,polling_station_type,auxiliary_polling_stations,serial_start,serial_end,male,female,third_gender,total,district,main_town_or_village,post_office,police_station,tehsil,subdivision,pin_code
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p147_ebe4c0c2\139_p147_ebe4c0c2.json,,,,,,,,,,147 - NANDYALA,"M H SCOOL,TEKKE NANDYAL",GENERAL,,,,,,,,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p148_ef1f069b\139_p148_ef1f069b.json,,,,139,NANDYAL,,17,NANDYAL,148,148 - NANDYAL,"Municipal High School, Tekke, Nandyal",,,,,688,743,0,1431,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p149_09563cbe\139_p149_09563cbe.json,,,,139,NANDYAL (GEN),,17,NANDYAL (GEN),149,,,,,,,559,654,0,1213,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p14_b03eb83c\139_p14_b03eb83c.json,,,,139,NANDYAL,,17,NANDYAL,,,"Z.P.H.S, 7 VA TARAGATI ROOM .KOTHAPALLE",GENERAL,,1,726,356,358,0,714,NANDYAL,KOTHAPALLI,KOTHAPALLI,NANDYALA TALUKA POLICE STATION,NANDYAL,NANDYAL,518501
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p150_7c3ef093\139_p150_7c3ef093.json,,,,139,NANDYAL,,17,NANDYAL,150,150 - NANDYALA,"SRI SAMATHA ENGLISH MEDIUM SCHOOL, BEHIND MARKET YARD, 5TH CLASS ROOM, NANDYAL., SRI SAMATHA ENGLISH MEDIUM SCHOOL, BEHIND MARKET YARD",,,,,614,629,1,1244,NANDYAL,NANDYAL,NANDYAL,2 TOWN POLICE STATION NANDYAL,NANDYAL,NANDYAL,518501
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p151_2f5bb611\139_p151_2f5bb611.json,,,,139,NANDYAL,,17,NANDYAL,,,"SRI SAMATHA ENGLISH MEDIUM SCHOOL, BEHIND MARKET YARD, 10TH CLASS ROOM, NANDYAL, SRI SAMATHA ENGLISH MEDIUM SCHOOL, BEHIND MARKET YARD",,,,,463,483,0,946,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p152_0ecb0b32\139_p152_0ecb0b32.json,,,,,,,,,,,,,,,,471,465,0,936,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p153_f7b9f545\139_p153_f7b9f545.json,,,,139,NANDYAL,,17,NANDYAL,,153 - NANDYAL,"SRI SAMATHA ENGLISH MEDIUM SCHOOL, BEHIND MARKET YARD, 2ND CLASS ROOM, NANDYAL, SRI SAMATHA ENGLISH MEDIUM SCHOOL, BEHIND MARKET YARD",,0,,,738,708,0,1446,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p154_f2e16566\139_p154_f2e16566.json,,,,139,NANDYAL (GEN),,,,,154 - NANDYALA,"SRI SAMATHA ENGLISH MEDIUM SCHOOL, BEHIND MARKET YARD, 7TH CLASS, NANDYAL, SRI SAMATHA ENGLISH MEDIUM SCHOOL, BEHIND MARKET YARD",,0,,,614,611,0,1225,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p155_77cc68ff\139_p155_77cc68ff.json,2024,,,139,NANDYAL,,,,155,155 - NANDYALA,NGRS Room Nandyal Premises of MPDO Office Nandyal,,,,,639,690,0,1329,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p156_bc607c50\139_p156_bc607c50.json,,,,,,,,,,,,,0,1,1225,593,615,0,1208,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p157_281f2784\139_p157_281f2784.json,,,,139,NANDYAL,,17,NANDYAL,157,,,,0,,,412,423,2,837,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p158_db731a8e\139_p158_db731a8e.json,,S01,Andhra Pradesh,139,NANDYAL,,17,NANDYAL,,,"Deputy Executive Engineer,Vigilance & Quality Control Sub-Divisional Officer, Nandyal",,,1,775,383,374,0,757,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p159_33a68bb8\139_p159_33a68bb8.json,,,,,,,,,,159 - NANDYAL,"EXECUTIVE ENGINEER OFFICE,North East Corner P.Raj. NANDYALA",,0,,,481,444,0,925,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p15_d441cf1a\139_p15_d441cf1a.json,2024,,,,,,,,15,,,,,,,,,,,,,,,,,
C:\Users\user\Documents\upsc\eci_downloads\S01_139_-_Nandyal\139_139_-_Nandyal\General_Election_Roll_2024\Booth_Details\139_p160_c71787bc\139_p160_c71787bc.json,,,,,,,,,,160 - NANDYALA,"MUNICIPAL ELEMENTARY SCHOOL, WEST SIDE ROOM, JVR NAGAR,N.G.Os Colony NANDYAL, MUNICIPAL ELEMENTARY SCHOOL JVR NAGAR",,,,,490,398,0,888,,,,,,,
